City,Region,Country,"Internet Price, 2010","Internet Price, 2011","Internet Price, 2012","Internet Price, 2013","Internet Price, 2014","Internet Price, 2015","Internet Price, 2016","Internet Price, 2017","Internet Price, 2018","Internet Price, 2019","Internet Price, 2020"
Szczecin,West Pomeranian Voivodeship,Poland,0.0,0.0,0.0,0.0,0.0,11.1124174628037,12.5421337305009,0.0,14.429819221421099,14.265595660337999,13.958538685917402
Ljubljana,Ljubljana City Municipality,Slovenia,32.0987654320988,28.9855072463768,33.0864197530864,34.2857142857143,28.8021045947294,29.6327868852459,32.5654405173392,34.2090859332239,38.254435042943705,36.6681822848678,38.478067724071295
Plovdiv,Plovdiv region,Bulgaria,0.0,0.0,0.0,10.0,13.3537704080448,8.66209604686615,10.048590517703401,10.302197802197801,12.741491072992801,13.2940832514394,13.3587371985726
Sofia,Sofia City Province,Bulgaria,11.3207547169811,14.5460358056266,10.729355033152501,11.1745098039216,10.2594207529185,7.94457790938041,8.74337860201571,9.529266308759631,12.186099556816199,11.826607910442801,12.0206949414489
Milan,Lombardy,Italy,0.0,40.8695652173913,31.4814814814815,35.5371900826446,36.654646890733396,30.8329193575095,30.902528138309698,30.272201561556898,31.8906609517377,32.574855199278105,30.9469148357827
Trieste,Friuli-Venezia Giulia,Italy,0.0,0.0,32.0987654320988,0.0,34.0182337733025,28.661202185792398,0.0,27.7653381101657,34.4116158667134,31.117777429537302,0.0
Lodz,Lodz Voivodeship,Poland,0.0,0.0,0.0,14.184397163120599,0.0,11.2830859903895,10.3330079029695,11.5738517044011,13.669601171998401,14.110490078733198,12.212414370900099
Oslo,,Norway,44.193714580113294,55.26781716417911,55.05319148936171,55.3094832481545,49.3769496388476,38.873882471587,41.7790365629453,48.796369299081704,54.6654138545397,50.6793204366768,46.9581839459587
Bonn,North Rhine-Westphalia,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.1240483654277,29.0007396161781,34.5112568746409,40.5584791238351
Katowice,Silesian Voivodeship,Poland,0.0,25.5474452554744,13.0885122410546,13.677811550151999,14.2454825383258,9.247705772515289,10.9417052075984,13.576597423790501,14.204127830161,14.749518974430302,12.496813061729199
Lisbon,Lisbon,Portugal,19.7530864197531,30.1449275362319,29.2170781893004,25.974025974026,29.7991223295686,26.171137605563803,29.057403413175898,32.528560013347004,36.429610328944705,36.1571597006127,36.6105470759941
Dubai,Emirate of Dubai,United Arab Emirates,95.3510932019998,76.6666666666667,72.28083560399641,67.9047755628854,79.8031635403338,84.6098065972189,88.4845480551401,93.35094022098129,96.5967867501832,99.25755264310621,96.8505934879669
